,scaled_sci,user,friend
1077,1258,ARG,SVN
1078,439,ARG,SVK
1079,907,ARG,SLE
1080,1566,ARG,SEN
1081,799,ARG,SUR
1082,1115,ARG,STP
1083,5133,ARG,SLV
1084,227,ARG,SWZ
1085,236,ARG,TCD
1086,832,ARG,TGO
1087,123,ARG,THA
1088,233,ARG,TJK
1089,364,ARG,TLS
1090,1708,ARG,TUN
1091,221,ARG,TON
1092,408,ARG,TUR
1093,1536,ARG,TTO
1094,233,ARG,TWN
1095,338,ARG,TZA
1096,427,ARG,UKR
1097,685,ARG,UGA
1098,1488,ARG,USA
1099,62303,ARG,URY
1100,158,ARG,UZB
